AR003FB1187B994355,"Kansas City, MO"
AR00A6H1187FB5402A,"Lansing, MI"
AR00DG71187B9B7FCB,"California - SF"
AR00FVC1187FB5BE3E,"Monterrey, NL, México"
AR00J9R1187B98D920,"Brandon, Manitoba, Canada"
AR00JIO1187B9A5A15,"Brooklyn"
AR00M9H1187B9B59CA,"Kirkland, WA"
AR00MBZ1187B9B5DB1,"Algiers, LA"
AR00QZQ1187B98EBDB,"Georgia"
AR00RAE1187FB41114,"Lennox Castle, Glasgow"
AR00RBU1187B9B3F1F,"Plymouth, England"
AR00YYQ1187FB504DC,"New York, NY"
AR013KN1187FB5AC4C,"Rockville, Centre, NY"
AR014T71187B9B8756,"Amsterdam"
AR015LY1187B98CCAF,"Algeria"
AR0174X1187B98E3E7,"harlingen, Texas"
AR01HXB1187FB54C93,"Tulsa OK"
AR01IP11187B9AF5D2,"Rockledge, Florida"
AR01RRX1187B9896B0,"New York, NY"
AR01SQ31187FB3C4C2,"Dortmund, Germany"
AR01TBY1187FB57622,"California"
AR01VU31187B997DA0,"Flint, MI"
AR01W2D1187FB5912F,"Boulder, CO"
AR01WBK1187B9A8E08,"Deer Park Plantation, MS"
AR01ZNN1187B9B15A4,"California - LA"
AR020PM1187FB3F357,"Munchenbuchsee, Switzerland"
AR022JO1187B99587B,"Indonesia"
AR02JG91187FB39B7F,"London"
AR02LLE1187B98CDE3,"New Jersey"
AR02LMQ1187B992AC9,"Seattle, WA"
AR02MJ91187B9B3D80,"London, England"
AR02TU31187FB5629E,"Nashville, TN"
AR02U831187B9B60B0,"Trinidad and Tobago"
AR02WCL1187B9A7FDF,"SF, LA, NYC, US"
AR02WQR1187B997F8A,"Detroit, MI"
AR02X7I1187FB41C6F,"Paris/Berlin"
AR02YGA1187B9B8AC4,"Buenos Aires"
AR030L21187B993260,"Detroit, MI"
AR035N21187FB3938E,"Earth"
AR03AC11187FB39256,"Silver Spring, MD"
AR03BDP1187FB5B324,"Kentwood, LA; Los Angeles, CA"
AR03D6O1187B9B0108,"SWEDEN"
AR03E4O1187FB3DEB1,"California"
AR03FDN1187FB3EC85,"NY - New York City"
AR03G0O1187B9A2769,"California - LA"
AR03G121187FB52EDF,"New Orleans, LA"
AR03GWG1187B9B6C85,"Toronto, Ontario, Canada"
AR03MRK1187FB3A8E0,"Boston"
AR03MV71187B9B68BE,"Georgia"
AR03QBI1187B9B7208,"UK - England - Yorkshire"
AR03VZI1187B99EF58,"Puerto Rico US"
AR03Z7E1187FB44816,"Manchester, England"
AR040JZ1187FB399A9,"Los Angeles, CA"
AR048JZ1187B9AEB85,"Jacksonville, FL"
AR049S81187B9AE8A5,"Sheffield, Yorkshire, England"
AR04KTB1187B99B6B7,"San Fransisco, CA"
AR04S8J1187FB48358,"Wilmington, DE"
AR04YM81187B99331F,"Philadelphia, PA"
AR050ZM1187B9B07B5,"Leeds, England"
AR051VM1187B9B7F27,"Birmingham, England"
AR052WY1187FB55B1C,"BRADENTON. FL"
AR0589W1187B9A0E2F,"Los Angeles, CA"
AR059HI1187B9A14D7,"Atlanta, GA"
AR059VT1187FB40FCD,"Savannah"
AR05AMO1187FB58D71,"Texas"
AR05FAY1187FB3E8B3,"Manila, Philippines"
AR05IU31187B9B9A1A,"Vitoria, Spain"
AR05KAM1187B9B6F55,"Gans, OK"
AR05KQA1187B9963B3,"California - LA"
AR05MBI1187FB58737,"Puerto Rico US"
AR05MKL1187B9B2FCA,"Toronto, Canada"
AR05NHX1187B9B3FA3,"Boston, MA"
AR05OG01187B9B8A98,"Washington DC"
AR05PKL1187FB4AD6A,"CANADA - Ontario"
AR05QTW1187B9913F9,"Atlanta, GA"
AR05S4O1187B992D7A,"Tucson Arizona USA"
AR05UN81187FB4FC8B,"Boston, MA"
AR05UYB1187B99B90F,"Paris, France"
AR05VW21187FB407B4,"Nottingham"
AR05Y4P1187FB38398,"Sydney Australia"
AR0602H1187B9916B4,"London, England"
AR061BH1187B98DF74,"Huntington Beach, CA"
AR061J011A348F060F,"MX"
AR064OH1187FB384A0,"Maryland"
AR064Q51187B99339B,"Hamburg, Germany"
AR064X51187FB3B425,"Sydney"
AR065TW1187FB4C3A5,"Knowle West, Bristol, Avon, Engla"
AR0680L1187B994254,"Flint, MI"
AR06EB01187FB40150,"Los Angeles, CA"
AR06M3F1187FB38BED,"Rossville, Tennessee (Lived in Como, Mississippi)"
AR06USW1187FB4EACA,"California - SF"
AR06W2H1187FB5BA09,"Jacksonville, TX"
AR06Z151187B9AF7C0,"Middlebourne, WV"
AR06ZYM1187B992A34,"London, England"
AR075BC1187B9B35FD,"Hillsboro, TX"
AR07BNY1187B9A0A72,"NY - Long Island"
AR07HH61187FB464DD,"Santa Monica, CA"
AR07KSC1187B9BA606,"Northport, NY"
AR07MCL1187B9B2DCA,"Munich, West Germany"
AR07N4Y1187B99A956,"Washington, D.C."
